,input,response,output,f1score
10,    日经225指数周五开盘下跌0.32%，报22267.59点；    日本东证股价指数周五开盘下跌0.50%，报1531.82点；,"金融市场, 股票市场, 海外股票市场, 国际金融市场",API Error,0
11,    未来五年内，宁波将如何以科技创新撬动新材料产业？记者获悉，市政府办公厅近日印发《宁波新材料科创高地建设行动方案（2021~2025年）》（以下简称《方案》），加快建设国际一流的新材料创新策源地，支撑宁波国家自主创新示范区建设。    《方案》提出，到2025年，甬江实验室将初步建成8个国际一流的新材料研究中心，全市市级以上新材料领域重点实验室、创新中心达到30家，争取国家级重点实验室、创新中心落地，宁波成为国家新材料领域战略科技力量的重要组成部分。    五年内，宁波将全职引进或培养新材料顶尖人才10人以上、创新型领军团队10个以上，集聚新材料领域研发人员超过2万人，新材料产业从业人员超过20万人，成为全国新材料产业人才主要流入地。取得新材料领域原创科技成果20项以上，力争获得新材料领域国家科学技术奖5项以上、授权发明专利2000项以上。    此外，宁波还将培育年产值超100亿元的新材料龙头企业10家，新增高新技术企业600家，形成3至5个新材料领域具有国际影响力的优势细分产业集群和标志性产业链，新材料产业总产值突破5000亿元。    为实现这一目标，宁波将怎么做？《方案》明确了六大任务，为宁波新材料科创高地建设定下了详细的“路线图”。    总体而言，宁波将实施新材料创新单元建设、新材料关键核心技术攻关、企业创新能力提升、创新链产业链融合、人才引育机制创新、一流创新创业环境构筑等六大任务，提升化工新材料、金属新材料、稀土磁性材料、功能膜材料、电子信息材料等五大领域竞争力。    其中，在新材料创新单元建设方面，到2025年，甬江科创大走廊将力争建设国家重点实验室3家，新材料产业增加值年均增速达到8.5%；甬江实验室人才规模达到800人，研制出光学级透明聚酰亚胺、深紫外光刻胶等10种以上关键“卡脖子”材料或国际首创材料。    在新材料关键核心技术攻关方面，宁波将聚焦海洋新材料、极端条件材料、新型光电材料、生物医用材料等方向，实施“前沿引领2035”计划变革性材料专项，开展前沿技术研发。到2025年，新材料前沿基础研发经费年均增长20%以上。    新材料产业的壮大，离不开中小企业“微创新”。《方案》指出，宁波将实施新一轮科技企业倍增计划，建立新材料领域重点企业培育库，到2025年全市将新增科技型中小企业2000家，为建设国际一流的新材料科创高地提供支撑。    ,"宏观, 经济金融政策, 地方政策",API Error,0
12,近日，文安县医疗保障局在11家非公立医疗机构关键部位安装智能视频监控系统，同时安排专人负责，严格处理每一条疑点信息，发现违规“预警”信息，立即抽调病历核实，确保医保基金合理支出。同时，该局还加大对定点医疗机构的检查力度，重点检查“挂床住院、虚构住院、冒名顶替住院”等违规行为，对已出院患者按一定比例进行电话回访调查，严厉打击弄虚作假骗取医保基金行为。今年以来，该局已依规作出暂停2家定点零售药店医保结算服务3个月处理，全县拒付或追回违规基金30万元。 ,"行业, 行业政策, 行业监管",API Error,0
13,10月13日，东鹏饮料（SH605499）发布关于申请银行综合授信的公告。  公告显示，公司拟向招商银行股份有限公司深圳中央商务支行申请综合授信，授信额度不超过6亿元，期限1年；公司拟向中国银行股份有限公司深圳桃园路支行申请综合授信，授信额度不超过6亿元，期限1年；公司拟向中国建设银行股份有限公司深圳东门支行申请综合授信，授信额度不超过5亿元，期限1年；公司拟向交通银行股份有限公司深圳华发支行申请综合授信，授信额度不超过3亿元，期限1年。  东鹏饮料成立于1994年6月30日，注册资本约4亿元，法定代表人为林木勤，经营范围包括食品机械及包装材料的销售与技术咨询、房屋租赁等。该公司最大股东为林木勤，持股49.74%。,"公司, 投融资, 筹资, 贷款",API Error,0
14,10月30日起，中国民航开始执行2022年冬航季航班时刻。长龙航空根据市场变化，合理调配运力资源，在本航季内优化了航线编排和航班时刻，新开航线共43条，其中，直飞航线20条，经停航线23条，并推出多种航空产品及机票优惠活动，以满足广大旅客出行需求。新航季，长龙航空将执飞国内航线132条，覆盖86个国内城市。围绕长春地区，长龙航空新开长春=郑州、长春=菏泽=深圳、长春=郑州=珠海、长春=合肥=珠海、长春=南昌=揭阳、长春=武汉=珠海航线，长春地区进出港航线信息如下：航班号 航线 班期GJ8125 郑州-长春 每日GJ8126 长春-郑州 每日GJ8919 杭州-长春-长白山 每日GJ8920 长白山-长春-杭州 每日GJ8059 广州-徐州-长春 每日GJ8060 长春-徐州-广州 每日GJ8889 广州-襄阳-长春 每日GJ8890 长春-襄阳-广州 每日GJ8577 杭州-潍坊-长春 每周246GJ8578 长春-潍坊-杭州 每周246GJ8943 杭州-威海-长春 每日GJ8944 长春-威海-杭州 每日GJ8993 杭州-日照-长春 每周1357GJ8994 长春-日照-杭州 每周1357GJ8871 昆明-临沂-长春 每日GJ8872 长春-临沂-昆明 每日GJ8297 长春-菏泽-深圳 每周1357GJ8298 深圳-菏泽-长春 每周1357GJ8645 长春-徐州-珠海 每日GJ8646 珠海-徐州-长春 每日GJ8729 长春-银川-长沙 每日GJ8730 长沙-银川-长春 每日GJ8771 长春-郑州-珠海 每周246GJ8815 上海浦东-日照-长春 每周246GJ8816 长春-日照-上海浦东 每周246GJ8955 长春-南昌-揭阳 每日GJ8956 揭阳-南昌-长春 每日GJ8957 长春-武汉-珠海 每周1357GJ8958 珠海-武汉-长春 每周1357GJ8148 珠海-合肥-长春 每周246在优化新航季航线结构的基础上，长龙航空同时延续多个优质产品，作为杭州亚运会官方合作伙伴，推出了“超级亚运舱”和“低碳经济舱”亚运主题产品，为亚运宣传助力以及践行绿色亚运办赛理念；中转产品，可任意组合搭配百余条航线通达全国；飞行挑战、青年特惠等产品，为旅客提供更多出行实惠。长龙航空温馨提醒，新航季航班时刻有所调整，旅客出行前请关注航线、航班时刻等信息，以免耽误行程。具体优惠航线及惠民产品信息，可通过长龙航空官方网站、官方APP、官方微信及客服热线956199查询。长龙航空始终积极践行“春雨式”服务理念，坚持“安全至上、服务为本”的核心理念，致力于为旅客出行创造美好的旅程体验。,"宏观, 社会, 交通运输",API Error,0
15,    12月8日讯，《北京市划转部分国有资本充实社保基金实施方案》今天公布。北京市将通过划转部分国有资本充实社保基金，建立国有资本划转和企业职工基本养老保险基金缺口逐步弥补相结合的运行机制。北京国有及国有控股大中型企业、金融机构均纳入划转范围，划转比例统一为企业国有股权的10%。2020年底前划转工作基本完成。,金融市场,API Error,0
16,7月8日电，稳健医疗公布的最新两融数据显示，公司7月7日融资余额为1.76亿元，与前一日相比减少1433.18万元，减少比例为7.52%，当前融资余额占流通市值的比例为1.81%。该股最近5个交易日融资余额减少1039.68万元，减少比例为5.57%。    融券余额为25.35万股，与前一日相比增加2775股，增加比例为1.11%，当前融券余额占流通股的比例为0.19%。该股最近5个交易日融券余额增加1.79万股，增加比例为7.61%。,"金融市场, 股票市场, A股",API Error,0
17,    为贯彻落实国家增量配电改革相关要求，促进云南省增量配电网企业可持续发展，在前期工作的基础上，云南能源监管办持续督促相关电网企业对增量配电业务试点区域内政府性基金及附加收取情况进行全面汇总清查，并及时退补相关不合理代收费用。    针对部分电网企业向增量配电网企业代收不合理费用的问题，云南能源监管办及时下发《关于清退增量配电业务试点区域内电网企业不合理代收费用的通知》，督促相关电网企业严格执行国家增量配电改革相关要求，实事求是向省级基金征收管理部门汇报沟通，加强与有关增量配电网企业的协同配合，及时汇总梳理自增量配电网企业并网运行以来，供电损耗电量、代收售电区域内用户政府性基金及附加、需清退的供电损耗所涉政府基金及附加等信息。    经督促，相关电网企业应向全省8个建成投运增量配电网企业清退相关费用44.7万元已全部完成清退。并自2021年9月1日抄见电量起，相关供电企业在与增量配电网企业结算电费时，不再在电价内代收增量配电网用电量的政府性基金及附加，而是由增量配电网企业对其供电区域内的用户代收政府性基金及附加，汇缴至所在地电网企业后由省级电网企业据实向省级财政及税务部门代缴。    ,"行业, 行业政策, 行业监管",API Error,0
18,    近日，箭达天下碳基新材料特种炭黑项目和年产120万套全钢子午线轮胎项目，施工现场热火朝天。    据箭达天下黑龙江项目工程建设部经理裘志佳介绍，工地于4月3日全面开工，在严格落实防疫要求的前提下，各项工作有条不紊地进行。    截至目前，轮胎厂厂房、炭黑原材料车间、油管罐区罐底已经全部施工完成。    箭达天下集团有限公司董事长陈志伟透露，预计今年8月底，炭黑新材料项目可实现投料生产，轮胎项目也将在10月投料生产。    ,"公司, 公司经营活动, 公司生产, 公司产能, 新工厂/新项目, 产品业务, 公司工程项目",API Error,0
19,针对日前披露结束的A股上市公司中报，泊通投资董事长卢洋9月4日发表策略观点分析称，从各主要行业的龙头公司和基本面优秀的头部企业来看，基建和地产产业链整体在二季度业绩增速表现亮眼。特别是房地产开发公司的“已售未结金额”同比仍然还处于高增长状态，这在很大程度上表明，未来两三年内，房地产龙头企业仍然有足够的成长性。另外值得注意的是，龙头地产公司在上半年有意识的降低了有息负债，这也表明多数龙头房企只要有意降低负债率，并不存在太大困难，进而更能够适应外部融资环境的变化。    在其他主要行业上市公司半年报的分析方面，卢洋同时分析表示，上半年消费和医药行业的龙头公司在疫情影响下，整体业绩增速有所放缓，但基本符合预期。但投资者也应当注意到，目前市场对于相关板块的估值，包含了更高的业绩增速预期。此外，上半年银行板块在响应政策让利的引导下，整体业绩普遍同比下降。但不少基本面优秀的上市银行，拨备前利润依然维持了不错的增长。考虑到银行股的估值已经足够的便宜，明年将值得投资者重点关注。,"金融市场, 股票市场, A股",API Error,0
20,"    9月15日电，恒久科技出现1笔大宗交易。成交价格为7.01元,成交金额为1884.29万元。买方为兴业证券股份有限公司上海锦康路证券营业部，卖方为上海证券有限责任公司苏州太湖西路证券营业部。折价率为2.5%","金融市场, 股票市场, A股",API Error,0
21,1月12日电，有投资者问，董秘好，请问现在谁是真的控股股东，今年会否公积金送股，业绩预告有吗？    禾盛新材在互动平台表示，投资者目前公司控股股东为深圳市中科创资产管理有限公司。和支持。,"公司, 对外关系, 公关, 媒体报道澄清",API Error,0
22,1月15日电，有投资者问，贵公司旗下视频演示神器“万兴鹿演”(Wondershare DemoCreator)日前上线了“虚拟人”功能，实现从真人演示到虚拟数字人演示的技术跨越。请介绍一下虚拟人具体应用到那方面？    万兴科技在互动平台表示，公司视频演示软件“万兴鹿演”上线的“虚拟数字人”演示功能，目前提供了8个不同风格的“虚拟形象”，主要用于满足用户对于教学培训、商业演示、知识分享、游戏解说等不同场景下的演示视频制作需求。,"公司, 公司经营活动, 公司销售, 公司营销, 产品业务, 公司工程项目, 新业务/新产品",API Error,0
23,"1月4日，大唐集团控股发布截至2021年12月31日止销售简报。    于2021年12月份，公司、其附属公司及联营公司的合约销售金额约为人民币69.2亿元；销售面积约为67.1万平方米；平均销售价格约为每平方米人民币10,311元。    于2021年1月至12月期间，集团实现累计合约销售金额约为人民币505.8亿元；累计销售面积约为493.2万平方米；平均销售价格约为每平方米人民币10,255元。","公司, 公司经营活动, 产品业务, 业务讨论, 公司业务数据",API Error,0
24,日前，英特尔方面表示，已经获得向华为供货许可。此外，9 月 21 日晚间，有供应链公司人士向记者称，英特尔方面向该公司表示已经获得向华为供货许可，因此该供应链公司已在继续推进华为笔记本项目。    在当天，英特尔公司全球副总裁、中国区总裁杨旭发表署名文章称，产业界需要坚定一个信念，越是危机越要把握发展趋势。杨旭认为，中国是不断成长的市场，市场在哪里，资金就要投向哪里。他表示，英特尔将继续投资中国，因为选择中国就是选择加速发展。    据波士顿咨询集团（BCG）2020 年 3 月份发布的《限制对华贸易会如何结束美国在全球半导体行业的领导地位》的报告中称：在未来三到五年，如果美国继续对中国目前实体名单上赫然在列的公司使用含有美国技术的产品施加限制，美国半导体公司可能会失去 8%的全球份额和 16%的收入。如果美国完全禁止半导体公司向中国客户出售产品，实际上导致技术与中国脱钩，那么美国公司可能会在同一时期失去 18%的全球份额和 37%的收入。这些收入下降将不可避免地导致美国半导体公司大幅削减研发支出和资本支出，从而导致美国半导体行业直接损失 15000 至 40000 个高技能的工作岗位。    此外，值得一提的是，在德银虚拟技术大会上，美国芯片公司AMD高级副总裁福雷斯特·诺罗德表示，该公司已经获得向美国“实体清单”中某些公司销售其产品的许可证，因此预计不会因为美国对华限制，而影响AMD的业务。    诺罗德并未透露“某些公司”的具体名称，但有外界媒体认为，这主要指的AMD可以向华为正常销售芯片。    华为表示，去年年底英特尔拿到的许可不受今年两次制裁的影响。    有媒体评价，这也意味着，美国看到美国半导体企业因禁令面临的芯片积压问题后，开始松口签署相关许可证，允许美企与华为合作。但目前困扰华为最严峻的手机芯片仍然无解。,"宏观, 政治, 国际关系, 国际合作",API Error,0
25,作为一个主营电线、电缆的传统制造企业，近年来，住友电工贸易（深圳）有限公司的产品线在不断丰富，并且一直致力于向绿色低碳领域转型，为什么会有这样的改变？历届进博会，国机集团都引进了大量高端装备，同时在招展方面也承担了大量工作，从招展和采购两个维度来看，进博会到底是个什么样的平台？,"宏观, 政治, 国际关系, 国际合作",API Error,0
26,    陕西铜川市印台区乔子梁煤矿“11.4”较大事故后，陕西、山西相继出台安全检查文件，两省安全排查时间至2021年1月31日。    以下为原文：山西开展为期3月的煤矿安全隐患集中排查整治行动10月份以来，短短十几天的时间，山西省连续发生了两起较大煤矿事故，使原本较为平稳的煤矿安全生产形势陡然严峻，山西省委省政府和应急管理部、国家煤矿安监局做出批示，要求认真吸取教训，立即采取有效措施，坚决防止事故反弹。    为了有效遏制煤矿重特大事故，山西省煤矿安全监察局和山西省应急管理厅联合发文明确，从2020年11月1日至2021年1月31日，在全省开展煤矿安全隐患集中排查整治行动。    通知提出，通过开展煤矿安全隐患集中排查整治行动，集中排查一批重大风险，集中整治一批重大事故隐患，集中惩治一批重大违法违规行为，促进山西省煤矿安全生产形势持续稳定好转。    整治重点有十五个方面。包括超产、跃层越界开采、违规开采、违规复采等。    此次集中排查整治采取煤矿企业自查自改、市县监管部门全面检查、省级监管监察抽查方式同步进行。    长按左侧二维码关注,"公司, 公司经营活动, 公司生产, 生产过程, 生产安全",API Error,0
27,    7月31日讯，华脉科技发布2021年半年报预盈公告，预计今年上半年净利润为350.00万元，去年同期净利润为-1463.07万元，归属于上市公司股东的净利润350万元,"公司, 财务, 业绩披露, 半年度报告, 业绩预告",API Error,0
28,10月15日，深圳市丰巢网络技术有限公司（以下简称“丰巢网络”）新增对外投资，新增投资企业为太原星巢网络技术有限公司，投资比例100%。  据了解，太原星巢网络技术有限公司成立于2021年10月12日，法定代表人为阳艳容，注册资本为5万元。公司经营范围包括网络技术服务；软件开发；技术服务、技术开发、广告设计、代理等。  深圳市丰巢网络技术有限公司成立于2019年7月24日，法定代表人为徐育斌，注册资本为87.75亿元。该公司经营范围为计算机网络技术开发、网络设计、网络服务、计算机软、硬件的技术开发等。该公司由丰巢（香港）有限公司100%持股。该公司对外投资企业共39家，包括智递科技有限公司等。,"公司, 公司经营活动, 子公司, 子公司设立",API Error,0
29," 9月7日，马自达（中国）企业管理有限公司今天发布了2021年8月马自达品牌在中国市场的销售业绩（零售）。2021年8月的销量为12,528台。两大渠道8月销量情况分别为：一汽马自达销量为3,738台，长安马自达销量为8,790台。    此外，1-8月的累计销量为122,890台。其中，一汽马自达销量为40,204台，长安马自达销量为82,686台。    ","行业, 行业竞争, 产品市场, 产品销量",API Error,0
30,港资1月19日，净卖出118.35万股，约2787.04万元，减持比例：0.01%，成交占比：3.432%，持股比例：1.302%，1个交易日减持，近5个交易日比例变化：-0.838%，近22个交易日比例变化：-3.825%，近66个交易日比例变化：2.608%。 近一月港资持股变动如下： ,"金融市场, 股票市场, A股",API Error,0
