,input,response,output,f1score
10,热景生物(688068.SH)发布公告，截至2023年4月28日收盘，公司通过上海证券交易所交易系统以集中竞价交易方式累计回购公司股份264.39万股，占公司总股本的比例为2.87%，回购成交的最高价为93.00元/股，最低价为49.49元/股，支付的资金总额为人民币1.56亿元(不含印花税、交易佣金等交易费用)。,积极,中性,0.0
11,"　　本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。　　2023年4月28日，烟台东诚药业集团股份有限公司（以下简称“公司”或“上市公司”）下属公司YANTAI LNC BIOTECHNOLOGY SINGAPORE PTE. LTD.（以下简称“蓝纳成新加坡”）收到美国食品药品监督管理局（以下简称“FDA”）核准签发的关于177Lu-LNC1003注射液的药品临床试验批准通知书(Study May Proceed Letter，以下简称“SMP”)，将于近期开展I期临床试验。　　现将177Lu-LNC1003注射液相关情况公告如下：　　一、药物的基本情况　　■　　二、药物的其他情况　　1、公司在研产品177Lu-LNC1003注射液是一种靶向前列腺特异性膜抗原(Prostate Specific Membrane Antigen，以下简称“PSMA”)的放射性体内治疗药物，拟用于治疗PSMA阳性表达的晚期前列腺癌患者。　　2、PSMA是由前列腺上皮细胞分泌的一种II型谷氨酸缩肽酶，特异性高表达于前列腺癌及其转移灶的细胞中。177Lu-LNC1003注射液在动物体内外试验及IIT（investigator-initiated trial，研究者发起的临床研究）研究中均展现出较高的结合亲和力和PSMA靶向特异性，使放射性核素能够浓聚于肿瘤病灶，实现肿瘤的精准治疗。　　3、此外，177Lu-LNC1003注射液前体化学结构中含有伊文思蓝（EvansBlue,以下简称“EB”），能够增加肿瘤对药物的有效摄取，延长治疗时间窗并可以在同等或更优的治疗效果下降低放射性核素的用量，进而降低患者的治疗成本。　　目前国内外暂无同产品上市，亦无相关销售数据。截至目前，177Lu-LNC1003注射液相关项目累计已投入研发费用约3,007.69万元。　　三、风险提示　　根据美国药品注册相关的法律法规要求，177Lu-LNC1003注射液在获得SMP后，尚需开展临床试验并经FDA审评、审批通过后方可在美国上市销售。　　药品从研制、临床试验报批到投产的周期长、环节多，药品研发及至上市容易受到一些不确定性因素的影响，敬请广大投资者谨慎决策，注意防范投资风险。公司将按相关国家的有关规定积极推进上述研发项目，并及时对项目后续进展情况履行信息披露义务。　　特此公告。　　烟台东诚药业集团股份有限公司董事会　　2023年5月4日",中性,中性,1.0
12,"05月04日，城投控股获沪股通增持90.47万股，已连续5日获沪股通增持，共计149.84万股，最新持股量为525.95万股，占公司A股总股本的0.21%。         
注：文中持股数量经过前复权处理，可能存在与港交所披露不一致的情形。                            
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。",积极,中性,0.0
13,"05月04日，横店东磁获深股通增持56.14万股，最新持股量为8160.45万股，占公司A股总股本的5.02%。                         
注：文中持股数量经过前复权处理，可能存在与港交所披露不一致的情形。                            
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。",积极,中性,0.0
14,　　中国电商物流指数比上月提高0.7个点，农村电商总业务量增速重回20%以上，中国仓储指数较上月上升3.5个百分点……中国物流和采购联合会4日发布的多个物流行业相关数据释放积极信号，“流动”的活力逐渐恢复，整体上运行向好的基础在继续巩固。　　“五一”假期让淄博烧烤的这把“火”越来越旺。炒锅饼、烧烤小饼、烧烤蘸料等淄博烧烤网红经济也随之火爆起来。　　“最近商家订单多到不敢接，怕生产速度跟不上。”最近被派到八大局便民市场驻点的快递小哥老田介绍说，因为淄博烧烤的火爆，淄博邮政快递企业主动下沉到人流量聚集的网红农贸市场、烧烤店设点收寄，还对烧烤小饼、烧烤炉、烧烤蘸料生产企业提供驻点寄递服务，并开通山东省内直达专线。据统计，近期淄博邮政快递业仅淄博烧烤相关商品每日寄出量便超1万件。　　这是近期我国物流行业持续向好的一个缩影。数据显示，4月份中国物流业景气指数为53.8%，继续保持增长态势。　　电商物流方面，4月份中国电商物流指数为109点，比上月提高0.7个点。分项指数中，除成本指数有所回落外，其他各项指数继续保持上涨，多项指数已超过2022年最高值，其中，物流时效指数重返100点以上。成本指数结束连续7个月的上涨，企业成本压力有所缓解。同时，电商物流总业务量和农村电商业务量实现连续4个月上涨，农村电商总业务量增速重回20%以上。　　中储发展股份有限公司副总裁王勇表示，中国仓储指数4月回升3.5个百分点至53.7%，表明仓储行业回升态势更加明朗。新订单、延伸业务量、期末库存、平均库存周转次数、企业员工等主要分项指数均有不同程度回升，业务活动预期指数运行在高位水平，展示出货物周转效率提高，企业备货积极，反映出市场需求持续回暖，经济保持较好复苏趋势。　　中国物流信息中心物流统计处处长胡焓表示，综合来看，物流运行将处于反弹式回升向内生性复苏过渡的阶段，需求在修复中波动回升，且持续保持景气水平，企业微观经营表现稳健，且对后市仍保持乐观预期，整体上运行向好的基础在继续巩固。,中性,积极,0.0
15,"佳乐股份（835262）近日发布2022年年度报告，报告期内公司实现营业收入78,691,479.96元，同比下滑31.25%；归属于挂牌公司股东的净利润-25,133,591.44元，较上年同期亏损减少。报告期内经营活动产生的现金流量净额为9,431,205.60元，归属于挂牌公司股东的净资产63,494,139.93元。报告期内公司营业收入较上年同期减少35,762,277.71元，同比减少31.25%，主要是2022年受上半年疫情影响较大所致。其他收益较上年同期减少1,250,814.23元，同比减少58.92%，主要是报告期内收到的财政专项资金补助、软件退税款同比减少所致。研发费用较上年同期减少4,136,174.49元，同比减少32.72%，报告期内公司继续加大对逆变器和智能环保等项目的研发投入，主要是研发领料和调试费减少较多所致。挖贝网资料显示，佳乐股份主要从事工业控制系统产品的研发、生产、销售，具有领先的研发能力，拥有近百项发明、实用新型、外观专利和软件著作权。主要产品覆盖了服务于各领域的工业自动化产品，包括以JAC200、JAC300、JAC580、JAC880为代表的变频器，伺服系统，带物联网功能的工程机柜，核级变频机柜，以及工业控制系统集成解决方案。产品广泛应用于电梯、空压机、起重、机床、金属制品、电线电缆、塑胶、印刷包装、纺织化纤、建材、冶金、石油、化工、核电、市政、轨道交通等行业。",消极,消极,1.0
16,"摘要：2023年05月05日财信发展（000838）股价大幅拉升6.83%，该股报5.17元/股，振幅6.42%。2023年05月05日临近11时14分，财信发展（000838）出现异动，股价大幅拉升6.83%。截至发稿，该股报5.17元/股，成交量12.195万手，换手率1.16%，振幅6.42%，量比3.17。该股最近一日（2023年05月04日）融资融券数据为：融资余额10029.89万元，融资买入额79.15万元，融券余量1.21万股，融券卖出量0.14万股。最新的第一季报显示，该股于2023年04月29日实现稀释每股收益0.016元， 营业利润1.15亿元， 基本每股收益0.016元，市盈率317.18。过去一年内该股涨停10次，跌停1次。财信发展公司主营业务为房地产开发;销售自行开发的商品房;污染治理设施运营;工程和技术研究。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)。截至2023年05月05日，该公司股东人数（户）为38,219，较上个统计日增加-8,675户。（",中性,中性,1.0
17,"（原标题：科瑞讯2022年亏损3633.61万同比亏损减少 销售费用减少）科瑞讯（430042）近日发布2022年年度报告，报告期内公司实现营业收入7,259,998.75元，同比下滑57.80%；归属于挂牌公司股东的净利润-36,336,137.75元，较上年同期亏损减少。报告期内经营活动产生的现金流量净额为2,083,974.85元，归属于挂牌公司股东的净资产72,870,405.33元。报告期内，销售费用与上年同期比减少64.72%，主要是企业因各地政策原因，导致一些项目合作处于暂缓状态，报告期内不能进行正常业务拓展；管理费用与上年同期比减少23.86%，主要是企业业务暂缓，相应的支出减少导致；财务费用与上年同期比增加372.94%，主要是2021年度贷款到期，偿还贷款利息总额上升导致。挖贝网资料显示，科瑞讯主营业务隶属于计算机应用服务业，是专业从事应急指挥领域信息化建设的高新技术企业。公司主要为客户提供与应急指挥相关的各种软硬件产品、系统集成和解决方案。",消极,消极,1.0
18,"截至2023年5月5日收盘，巨化股份(600160)报收于14.82元，下跌0.94%，换手率0.93%，成交量25.08万手，成交额3.69亿元。5月5日的资金流向数据方面，主力资金净流出1805.18万元，占总成交额4.89%，游资资金净流入2042.33万元，占总成交额5.54%，散户资金净流出237.15万元，占总成交额0.64%。巨化股份2023一季报显示，公司主营收入45.76亿元，同比下降0.68%；归母净利润1.53亿元，同比下降34.89%；扣非净利润1.32亿元，同比下降40.55%；负债率30.15%，投资收益3175.74万元，财务费用611.6万元，毛利率13.59%。巨化股份（600160）主营业务：公司是国内领先的氟化工、氯化工新材料先进制造业基地,主要业务为基本化工原料、食品包装材料、氟化工原料及后续产品的研发、生产与销售。拥有氯碱化工、硫酸化工、煤化工、基础氟化工等氟化工必需的产业自我配套体系,并以此为基础,形成了包括基础配套原料、氟致冷剂、有机氟单体、含氟聚合物、精细化学品等在内的完整的氟化工产业链,并涉足石油化工产业。。该股最近90天内共有17家机构给出评级，买入评级15家，增持评级2家；过去90天内机构目标均价为24.04。根据近五年财报数据， 巨化股份（600160）行业内竞争力的护城河良好，盈利能力良好，营收成长性一般。财务健康。资金流向名词解释：指通过价格变化反推资金流向。股价处于上升状态时主动性买单形成的成交额是推动股价上涨的力量，这部分成交额被定义为资金流入，股价处于下跌状态时主动性卖单产生的的成交额是推动股价下跌的力量，这部分成交额被定义为资金流出。当天两者的差额即是当天两种力量相抵之后剩下的推动股价上升的净力。通过逐笔交易单成交金额计算主力资金流向、游资资金流向和散户资金流向。注：主力资金为特大单成交，游资为大单成交，散户为中小单成交",消极,消极,1.0
19,"截至2023年5月5日收盘，山东玻纤(605006)报收于7.98元，下跌0.37%，换手率0.49%，成交量1.39万手，成交额1104.8万元。5月5日的资金流向数据方面，主力资金净流入110.65万元，占总成交额10.02%，游资资金净流出161.91万元，占总成交额14.65%，散户资金净流入51.26万元，占总成交额4.64%。山东玻纤2023一季报显示，公司主营收入6.28亿元，同比下降24.6%；归母净利润8849.48万元，同比下降51.41%；扣非净利润1472.33万元，同比下降91.81%；负债率40.48%，财务费用1727.47万元，毛利率14.75%。山东玻纤（605006）主营业务：玻璃纤维及其制品的研发、生产与销售,同时在沂水县范围内提供热电产品。。该股最近90天内共有10家机构给出评级，买入评级6家，增持评级4家；过去90天内机构目标均价为11.08。根据近五年财报数据， 山东玻纤（605006）行业内竞争力的护城河一般，盈利能力良好，营收成长性良好。财务可能有隐忧，须重点关注的财务指标包括：有息资产负债率、存货/营收率增幅。资金流向名词解释：指通过价格变化反推资金流向。股价处于上升状态时主动性买单形成的成交额是推动股价上涨的力量，这部分成交额被定义为资金流入，股价处于下跌状态时主动性卖单产生的的成交额是推动股价下跌的力量，这部分成交额被定义为资金流出。当天两者的差额即是当天两种力量相抵之后剩下的推动股价上升的净力。通过逐笔交易单成交金额计算主力资金流向、游资资金流向和散户资金流向。注：主力资金为特大单成交，游资为大单成交，散户为中小单成交",积极,消极,0.0
20,"截至2023年5月5日收盘，亚玛顿(002623)报收于26.87元，下跌1.72%，换手率1.05%，成交量2.08万手，成交额5609.27万元。5月5日的资金流向数据方面，主力资金净流出611.73万元，占总成交额10.91%，游资资金净流出197.16万元，占总成交额3.51%，散户资金净流入808.88万元，占总成交额14.42%。亚玛顿2023一季报显示，公司主营收入8.09亿元，同比上升14.62%；归母净利润1564.18万元，同比上升41.68%；扣非净利润947.9万元，同比上升130.38%；负债率37.79%，投资收益433.73万元，财务费用515.53万元，毛利率6.88%。亚玛顿（002623）主营业务：光伏玻璃镀膜材料技术和工艺技术的研发,光伏玻璃的镀膜生产以及光伏镀膜玻璃销售,超薄≤2.0mm光伏玻璃的镀膜生产以及销售、超薄双玻组件的生产和销售。。该股最近90天内共有5家机构给出评级，买入评级3家，增持评级2家；过去90天内机构目标均价为44.04。根据近五年财报数据， 亚玛顿（002623）行业内竞争力的护城河一般，盈利能力一般，营收成长性较差。财务相对健康，须关注的财务指标包括：应收账款/利润率。该股好公司指标2.5星，好价格指标2星，综合指标2星。资金流向名词解释：指通过价格变化反推资金流向。股价处于上升状态时主动性买单形成的成交额是推动股价上涨的力量，这部分成交额被定义为资金流入，股价处于下跌状态时主动性卖单产生的的成交额是推动股价下跌的力量，这部分成交额被定义为资金流出。当天两者的差额即是当天两种力量相抵之后剩下的推动股价上升的净力。通过逐笔交易单成交金额计算主力资金流向、游资资金流向和散户资金流向。注：主力资金为特大单成交，游资为大单成交，散户为中小单成交",消极,中性,0.0
21,"截至2023年5月5日收盘，兴瑞科技(002937)报收于21.05元，下跌2.95%，换手率2.04%，成交量5.9万手，成交额1.24亿元。5月5日的资金流向数据方面，主力资金净流出165.73万元，占总成交额1.34%，游资资金净流入109.08万元，占总成交额0.88%，散户资金净流入56.65万元，占总成交额0.46%。兴瑞科技2023一季报显示，公司主营收入4.8亿元，同比上升35.25%；归母净利润5179.6万元，同比上升52.28%；扣非净利润5087.99万元，同比上升56.24%；负债率28.99%，投资收益-11.19万元，财务费用1142.8万元，毛利率26.02%。兴瑞科技（002937）主营业务：以模具技术为核心,通过与客户同步设计,采用精密注塑/冲压和自动化组装等先进技术,为客户提供连接器、屏蔽罩、散热片、支撑件、外壳、调节器和整流桥等精密电子零部件产品及模具产品。。该股最近90天内共有4家机构给出评级，买入评级4家；过去90天内机构目标均价为30.38。根据近五年财报数据， 兴瑞科技（002937）行业内竞争力的护城河良好，盈利能力良好，营收成长性良好。财务相对健康，须关注的财务指标包括：应收账款/利润率。资金流向名词解释：指通过价格变化反推资金流向。股价处于上升状态时主动性买单形成的成交额是推动股价上涨的力量，这部分成交额被定义为资金流入，股价处于下跌状态时主动性卖单产生的的成交额是推动股价下跌的力量，这部分成交额被定义为资金流出。当天两者的差额即是当天两种力量相抵之后剩下的推动股价上升的净力。通过逐笔交易单成交金额计算主力资金流向、游资资金流向和散户资金流向。注：主力资金为特大单成交，游资为大单成交，散户为中小单成交",消极,中性,0.0
